dataset_id,cost_reward_ratio,treat_none,treat_none_phi,treat_all,tret_all_phi,s-learner_policy_1,s-learner_policy_1_phi,s-learner_policy_2,s-learner_policy_2_phi,double_machine_learning_policy_1,double_machine_learning_policy_1_phi,double_machine_learning_policy_2,double_machine_learning_policy_2_phi,x-learner_policy_1,x-learner_policy_1_phi,x-learner_policy_2,x-learner_policy_2_phi,causal_forest_policy_1,causal_forest_policy_1_phi,causal_forest_policy_2,causal_forest_policy_2_phi
38,0.0333333333333333,970140.0,0.0,955536.0,1.0,976152.0,0.3062165686960137,980796.0,0.2951405296085584,963876.0,0.2702666943882662,965560.0,0.2679607613359291,975848.0,0.4723193528266581,979820.0,0.4515470542650311,978634.0,0.4324191505849887,982396.0,0.4510745270002079
39,0.0333333333333333,957780.0,0.0,970022.0,1.0,959620.0,0.351862702477933,968900.0,0.3496323737879676,971118.0,0.2863326213922543,969566.0,0.2835919632562799,960212.0,0.4756270436804203,963230.0,0.4491277146691364,965540.0,0.4547035363940499,975862.0,0.4532670535089875
40,0.0333333333333333,962280.0,0.0,955776.0,1.0,972708.0,0.2587370291265806,978058.0,0.2516491201542329,976030.0,0.3211295291738333,972930.0,0.3174627175988054,967172.0,0.4682745194397716,966994.0,0.4426824427769482,974770.0,0.4172982781106469,976490.0,0.4220424518494717
41,0.0333333333333333,950100.0,0.0,970294.0,1.0,954914.0,0.233182754644943,954146.0,0.2204056174041242,956440.0,0.2148486967698036,957704.0,0.2100100175780142,963700.0,0.4400929933657172,959642.0,0.3967338915455421,970922.0,0.3935963105071162,954102.0,0.4098134462358478
42,0.0333333333333333,965700.0,0.0,960958.0,1.0,984166.0,0.2507607688963653,987676.0,0.239665828718317,974952.0,0.2278526470977375,976976.0,0.2237700115296652,972500.0,0.4478046383276315,969750.0,0.4145009167028937,983790.0,0.4125730054624151,984712.0,0.4295272837242709
43,0.0333333333333333,960120.0,0.0,959280.0,1.0,975902.0,0.2644262573950517,976392.0,0.2552025251857032,961370.0,0.2297616572476231,962458.0,0.2255278129548075,982196.0,0.4627932031678228,970468.0,0.4330239854839624,978802.0,0.4264275048670308,982944.0,0.4352921163551136
44,0.0333333333333333,961080.0,0.0,967978.0,1.0,983466.0,0.3295405144876859,984112.0,0.3291624926758274,975112.0,0.3085603039295367,972476.0,0.3034570094694463,980698.0,0.4645132024117792,984606.0,0.4400740922751243,977272.0,0.4686525412516302,978532.0,0.4645888067741509
45,0.0333333333333333,966960.0,0.0,963232.0,1.0,977066.0,0.284593721057705,976102.0,0.2800007560436237,963494.0,0.3023229440338708,961726.0,0.2987317368212145,966370.0,0.454420020035156,959366.0,0.4191505849887538,971466.0,0.4158617952255845,979764.0,0.4304912393445101
46,0.0333333333333333,975540.0,0.0,951484.0,1.0,981054.0,0.3716332432381348,981908.0,0.3661519269661859,974664.0,0.3281418337838093,977112.0,0.3238323851286219,970390.0,0.4740582531612074,972090.0,0.4578600185230688,979698.0,0.4626041922618935,972894.0,0.4585593588750071
47,0.0333333333333333,956040.0,0.0,973068.0,1.0,979496.0,0.2703990020224167,979844.0,0.2628007636040599,981328.0,0.2317651728504734,976782.0,0.228495284177897,963430.0,0.4599580395788837,971980.0,0.4346116770937683,973048.0,0.4224393747519231,974474.0,0.4367285992401761
48,0.0333333333333333,967200.0,0.0,959626.0,1.0,985612.0,0.2841211937928818,981856.0,0.2693027387680269,971804.0,0.2720433969040013,970976.0,0.2679040580641503,970076.0,0.4546657342128641,977408.0,0.4246130001701098,975796.0,0.4416050806131514,975262.0,0.4439677169372673
49,0.0333333333333333,962640.0,0.0,963070.0,1.0,974356.0,0.2723269132628952,977894.0,0.2507796699869582,976310.0,0.2418961574082824,974650.0,0.2387963785510423,971918.0,0.4557430963766609,974220.0,0.4219668474871,978936.0,0.4036138885213677,973902.0,0.4196798155253558
0,0.0666666666666666,478950.0,0.0,455596.0,1.0,482092.0,0.143062354697866,483746.0,0.1219120343243805,481550.0,0.0380667964541554,481710.0,0.0356474568582607,479670.0,0.3419396299166461,480262.0,0.2805299865802256,478916.0,0.1945111232918139,483478.0,0.2279282514601092
1,0.0666666666666666,480780.0,0.0,454292.0,1.0,481172.0,0.1219309354149734,483556.0,0.1046553386130379,480858.0,0.061787665148279,481366.0,0.0579885459391006,479046.0,0.3637325873702912,477710.0,0.2987317368212145,482462.0,0.1827546449430132,481440.0,0.2223335286446028
2,0.0666666666666666,487380.0,0.0,453414.0,1.0,486510.0,0.1070935792995255,485558.0,0.0866236981873854,490564.0,0.0556637117961706,491156.0,0.05243162530478,484578.0,0.3395202903207515,487386.0,0.2837998752528021,487120.0,0.1655168503222636,486066.0,0.198631561041072
3,0.0666666666666666,480120.0,0.0,454886.0,1.0,486962.0,0.1137089610070501,487478.0,0.0962443532991853,484018.0,0.0537736027368779,483510.0,0.0510518456914964,481634.0,0.3343413914982894,486496.0,0.2675827395240705,487904.0,0.1665375092142816,485330.0,0.2011265049993384
